area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2
155.0,280000.0,good,4.0,3.0,installed,,,4400,1238.0,1,36,,house,bungalow,1,943,Liege,Wallonia_zone,2,1806.4516129032259
125.0,80000.0,to be done up,2.0,2.0,installed,,,6182,320.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,640.0
874.0,250000.0,to renovate,3.0,5.0,not installed,,3.0,6717,1446.0,0,0,,house,house,0,0,Luxembourg,Wallonia_zone,2,286.0411899313501
310.0,985000.0,as new,4.0,5.0,usa installed,,,1380,3111.0,1,530,True,house,house,0,0,Walloon Brabant,Wallonia_zone,2,3177.4193548387098
152.0,395000.0,,2.0,3.0,not installed,,,1150,88.0,0,0,,house,house,0,0,Brussel-Capital,Brussels_zone,1,2598.684210526316
150.0,230000.0,good,2.0,4.0,installed,,,7080,331.0,1,25,,house,mixed,0,0,Hainaut,Wallonia_zone,2,1533.3333333333333
114.0,243000.0,,2.0,3.0,semi equipped,,,3620,91.0,1,11,,house,house,1,32,Limburg,Flanders_zone,3,2131.5789473684213
168.0,395000.0,as new,4.0,3.0,usa installed,,,4800,659.0,0,0,,house,villa,0,0,Liege,Wallonia_zone,2,2351.190476190476
155.0,219000.0,good,3.0,3.0,installed,,,8790,256.0,0,0,,house,house,1,86,West Flanders,Flanders_zone,3,1412.9032258064517
213.0,425000.0,good,,4.0,installed,,,1420,143.0,1,13,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,1995.305164319249
166.0,375000.0,as new,3.0,4.0,installed,,,8310,201.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2259.0361445783133
155.0,260000.0,good,2.0,3.0,installed,,,8480,218.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1677.4193548387098
110.0,210000.0,good,2.0,2.0,hyper equipped,,,4051,210.0,1,48,,house,house,1,16,Liege,Wallonia_zone,2,1909.090909090909
260.0,749000.0,,,3.0,,,,8670,533.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,2880.769230769231
75.0,239500.0,as new,,2.0,hyper equipped,,,8420,231.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,3193.3333333333335
149.0,383000.0,just renovated,2.0,3.0,installed,,,2800,174.0,1,28,,house,house,1,72,Antwerp,Flanders_zone,3,2570.469798657718
442.0,750000.0,as new,3.0,5.0,hyper equipped,,,1370,769.0,0,0,,house,exceptiona,0,0,Walloon Brabant,Wallonia_zone,2,1696.8325791855204
188.0,350000.0,,,3.0,hyper equipped,,,8820,386.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1861.7021276595744
162.0,335000.0,to be done up,2.0,4.0,hyper equipped,,,2018,50.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2067.901234567901
302.0,600000.0,just renovated,2.0,7.0,,,,7000,100.0,1,10,,house,apartment,0,0,Hainaut,Wallonia_zone,2,1986.7549668874171
158.0,339000.0,,,3.0,,,,2380,326.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2145.5696202531644
100.0,175000.0,,2.0,1.0,semi equipped,,,6760,28.0,0,0,,house,house,0,0,Luxembourg,Wallonia_zone,2,1750.0
180.0,295000.0,,4.0,4.0,,,,1430,1300.0,0,0,,house,villa,0,0,Walloon Brabant,Wallonia_zone,2,1638.888888888889
174.0,370435.0,,3.0,3.0,installed,,,8800,280.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,2128.9367816091954
153.0,255000.0,good,,2.0,installed,,,8908,404.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1666.6666666666667
124.0,338202.0,as new,,3.0,,,,3370,149.0,1,10,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2727.435483870968
132.0,224900.0,,3.0,3.0,not installed,,,7951,474.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,1703.7878787878788
595.0,299000.0,to be done up,3.0,5.0,semi equipped,,,7370,1300.0,0,0,,house,house,1,1000,Hainaut,Wallonia_zone,2,502.52100840336135
118.0,340000.0,,2.0,3.0,not installed,,,3080,145.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2881.35593220339
350.0,1875000.0,as new,3.0,8.0,hyper equipped,,,8300,270.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,5357.142857142857
211.0,645000.0,to be done up,4.0,4.0,,,,1440,2409.0,0,0,,house,villa,0,0,Walloon Brabant,Wallonia_zone,2,3056.872037914692
140.0,297000.0,,3.0,3.0,installed,,,2450,227.0,1,15,,house,house,0,0,Antwerp,Flanders_zone,3,2121.4285714285716
152.0,375000.0,just renovated,4.0,4.0,installed,,,1495,416.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2467.1052631578946
140.0,320000.0,as new,3.0,3.0,,,,3211,462.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2285.714285714286
