,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface
1589,1791,296.0,180000.0,good,3.0,3.0,semi equipped,no,1.0,7140,210.0,0,0,,house,house,0,0
1592,1794,306.0,695000.0,good,3.0,3.0,installed,no,,9100,207.0,0,0,,house,apartment,0,0
1593,1795,149.0,408400.0,,3.0,4.0,hyper equipped,no,,9000,115.0,0,0,,house,house,1,127
1594,1796,222.0,350000.0,just renovated,3.0,4.0,,no,,6211,642.0,0,0,,house,house,0,0
1595,1798,220.0,972000.0,good,2.0,6.0,,no,,8300,154.0,0,0,,house,house,0,0
1596,1799,185.0,499000.0,as new,,3.0,installed,no,1.0,6790,1225.0,1,30,,house,house,1,1200
1597,1801,210.0,260000.0,to be done up,2.0,3.0,not installed,no,,1400,175.0,1,15,,house,house,0,0
1599,1803,132.0,298000.0,good,4.0,4.0,installed,no,,3300,590.0,0,0,,house,house,0,0
1602,1806,497.0,1250000.0,as new,4.0,8.0,installed,no,1.0,3440,4000.0,0,0,,house,exceptiona,1,4000
1604,1808,171.0,460000.0,as new,3.0,3.0,hyper equipped,no,,9041,486.0,1,50,,house,house,1,128
1605,1812,204.0,450000.0,,,3.0,,no,,8000,126.0,0,0,,house,house,0,0
1606,1813,137.0,399000.0,,,3.0,hyper equipped,no,,9200,189.0,0,0,,house,house,1,113
1607,1814,250.0,300000.0,,,6.0,,no,,6030,310.0,0,0,,house,house,0,0
1608,1816,162.0,249000.0,to renovate,,3.0,,no,,4920,1328.0,0,0,,house,house,0,0
1609,1817,110.0,175000.0,to renovate,3.0,3.0,semi equipped,no,,6220,519.0,0,0,,house,house,0,0
1610,1818,130.0,195000.0,to renovate,,2.0,semi equipped,no,,7700,1158.0,0,0,,house,house,0,0
1611,1819,120.0,495000.0,as new,2.0,2.0,installed,yes,,9000,50.0,0,0,,house,house,1,38
1612,1820,158.0,299000.0,,3.0,3.0,hyper equipped,no,,1360,251.0,0,0,,house,house,0,0
1614,1822,142.0,239000.0,as new,2.0,3.0,installed,no,,7141,269.0,0,0,,house,house,0,0
1615,1823,161.0,314000.0,,3.0,3.0,hyper equipped,no,,1360,240.0,0,0,,house,house,0,0
1616,1824,295.0,895000.0,as new,2.0,6.0,installed,no,,1030,230.0,1,10,,house,exceptiona,1,135
1618,1826,90.0,295000.0,,2.0,2.0,hyper equipped,no,,8400,270.0,1,20,,house,house,1,159
1619,1828,228.0,259000.0,to be done up,,3.0,,,,9500,457.0,0,0,,house,house,0,0
1620,1829,151.0,336500.0,,,3.0,installed,no,,8610,372.0,0,0,,house,house,0,0
1621,1830,135.0,219000.0,good,2.0,3.0,installed,no,,6230,223.0,0,0,,house,house,1,150
1622,1831,196.0,307720.0,,2.0,3.0,,no,,9473,152.0,0,0,,house,house,0,0
1623,1832,161.0,295000.0,,,2.0,,,,3730,1426.0,0,0,,house,house,0,0
1626,1835,1612.0,2999999.0,,,30.0,,no,,2660,1585.0,0,0,,house,apartment,0,0
1627,1836,200.0,295000.0,as new,3.0,3.0,hyper equipped,no,,9500,465.0,1,40,,house,house,1,300
1628,1837,240.0,795000.0,,4.0,4.0,installed,no,,1150,146.0,1,16,,house,house,1,70
1629,1839,379.0,989000.0,good,4.0,7.0,,no,,9620,3030.0,0,0,True,house,mansion,0,0
1631,1842,720.0,2400000.0,good,,13.0,installed,no,,1000,170.0,0,0,,house,apartment,0,0
1632,1843,147.0,324172.0,as new,,3.0,hyper equipped,no,,3850,494.0,0,0,,house,house,0,0
1633,1844,329.0,349000.0,,4.0,3.0,,no,,9700,1150.0,0,0,,house,house,0,0
1634,1845,125.0,345000.0,to be done up,2.0,3.0,installed,no,,1400,600.0,0,0,,house,house,1,150
1635,1846,282.0,220000.0,to renovate,4.0,7.0,,no,,7022,530.0,1,16,,house,mixed,1,250
1636,1847,210.0,397000.0,as new,3.0,2.0,,,,9300,288.0,1,25,,house,town,0,0
1637,1848,272.0,270000.0,good,3.0,5.0,installed,no,,7300,1429.0,0,0,,house,house,0,0
1638,1849,500.0,2690000.0,as new,4.0,5.0,installed,,,1180,2700.0,0,0,True,house,villa,1,2600
1639,1850,393.0,620000.0,good,2.0,4.0,hyper equipped,no,1.0,9600,569.0,1,40,,house,house,1,434
1640,1852,114.0,256984.0,,3.0,3.0,,no,,8790,346.0,0,0,,house,house,0,0
1642,1854,448.0,650000.0,,,5.0,hyper equipped,,,8860,1250.0,0,0,,house,villa,0,0
1643,1856,152.0,600000.0,,4.0,3.0,,no,,9600,756.0,1,38,,house,villa,0,0
1644,1857,140.0,265000.0,just renovated,4.0,2.0,installed,no,,5060,270.0,1,25,,house,house,1,105
1645,1858,170.0,305000.0,,3.0,3.0,,no,,8820,343.0,1,30,,house,house,0,0
1646,1859,320.0,1160000.0,good,2.0,5.0,installed,no,,1040,180.0,1,20,,house,house,0,0
1647,1860,127.0,149000.0,,4.0,2.0,semi equipped,no,,6690,112.0,0,0,,house,house,0,0
1648,1861,224.0,270000.0,good,3.0,4.0,installed,no,,7040,2505.0,0,0,,house,house,0,0
1649,1862,211.0,450000.0,,,3.0,,no,,1450,744.0,0,0,,house,villa,0,0
1650,1863,106.0,225000.0,to renovate,,2.0,,no,,2640,124.0,0,0,,house,house,0,0
1653,1866,260.0,795000.0,as new,2.0,5.0,usa installed,no,1.0,1200,231.0,1,6,,house,house,1,71
1654,1867,450.0,1495000.0,,,4.0,hyper equipped,no,2.0,8020,7946.0,0,0,,house,villa,0,0
1655,1869,273.0,619000.0,good,,10.0,installed,no,,8420,215.0,0,0,,house,house,0,0
1656,1872,210.0,565000.0,good,4.0,4.0,installed,no,1.0,1495,1530.0,0,0,,house,villa,0,0
1657,1873,295.0,832500.0,as new,4.0,4.0,hyper equipped,no,,2930,2115.0,0,0,True,house,house,0,0
1658,1874,160.0,279000.0,,,3.0,semi equipped,no,,8800,1073.0,0,0,,house,house,0,0
1660,1876,191.0,165000.0,good,3.0,2.0,installed,no,,6183,260.0,0,0,,house,house,0,0
1662,1879,150.0,185000.0,,3.0,3.0,not installed,no,,7972,782.0,1,30,,house,villa,1,375
1663,1880,229.0,449000.0,good,3.0,3.0,hyper equipped,,,1760,364.0,0,0,,house,house,1,150
1664,1881,345.0,625000.0,good,4.0,4.0,hyper equipped,no,,4632,1500.0,1,20,True,house,villa,1,1500
1666,1883,198.0,325000.0,good,,3.0,semi equipped,no,,1428,746.0,0,0,,house,house,0,0
1667,1884,157.0,276100.0,as new,3.0,3.0,,no,,8780,220.0,0,0,,house,house,0,0
1668,1885,85.0,155000.0,as new,2.0,2.0,installed,no,,4020,75.0,1,15,,house,house,0,0
1669,1886,132.0,239000.0,,3.0,4.0,,no,,6791,116.0,0,0,,house,house,0,0
1670,1887,155.0,297500.0,,,3.0,,,,8470,220.0,0,0,,house,house,0,0
1671,1888,146.0,157500.0,,3.0,3.0,installed,no,,6060,180.0,1,35,,house,town,1,52
1672,1889,400.0,1650000.0,as new,,5.0,hyper equipped,,1.0,3140,3025.0,0,0,True,house,villa,0,0
1673,1890,451.0,625000.0,,,,,,,8200,476.0,0,0,,house,mixed,0,0
1674,1891,191.0,308000.0,to be done up,3.0,4.0,not installed,no,,1650,177.0,0,0,,house,house,0,0
1676,1893,210.0,645000.0,,,5.0,,,,2880,1361.0,0,0,,house,house,0,0
1677,1894,235.0,270000.0,to be done up,4.0,3.0,,no,,8530,510.0,0,0,,house,bungalow,0,0
1678,1895,258.0,485000.0,good,4.0,3.0,installed,no,1.0,2870,743.0,0,0,,house,villa,0,0
1679,1897,185.0,265000.0,to renovate,,3.0,,no,,9680,1029.0,0,0,,house,house,0,0
1680,1898,250.0,350000.0,,3.0,3.0,semi equipped,,,7500,808.0,0,0,,house,house,0,0
1681,1899,470.0,795000.0,as new,3.0,8.0,,,,7500,640.0,0,0,,house,mansion,0,0
1683,1901,346.0,880000.0,,3.0,4.0,hyper equipped,,,2100,680.0,1,40,,house,exceptiona,1,535
1684,1902,151.0,349000.0,good,3.0,3.0,,no,,4120,1373.0,0,0,,house,house,1,1000
1686,1905,135.0,299000.0,just renovated,2.0,3.0,installed,no,,8720,115.0,0,0,,house,house,0,0
1687,1906,230.0,459000.0,good,4.0,3.0,installed,,,1741,1150.0,1,45,,house,house,1,1000
1688,1907,274.0,269000.0,good,2.0,3.0,installed,no,,9400,222.0,0,0,,house,town,0,0
1690,1909,400.0,1095000.0,good,4.0,5.0,installed,no,,1380,1600.0,1,40,,house,exceptiona,1,1560
1691,1910,199.0,645000.0,as new,4.0,3.0,installed,no,,1750,1505.0,1,18,True,house,villa,0,0
1692,1911,170.0,239000.0,to be done up,,5.0,,no,,4683,930.0,0,0,,house,house,1,400
1693,1912,178.0,320250.0,as new,,3.0,,no,,8531,488.0,0,0,,house,house,0,0
1694,1913,175.0,335000.0,good,3.0,3.0,installed,no,,9940,353.0,1,50,,house,house,0,0
1695,1914,195.0,495000.0,good,4.0,4.0,installed,no,1.0,1731,585.0,1,12,,house,villa,1,390
1696,1915,142.0,387000.0,good,2.0,3.0,installed,no,,8710,362.0,1,15,,house,house,0,0
1697,1916,143.0,322500.0,,,3.0,,,,8490,303.0,0,0,,house,house,0,0
1698,1917,300.0,215000.0,as new,2.0,3.0,installed,,,6040,200.0,1,50,,house,house,0,0
1699,1918,119.0,95000.0,to renovate,2.0,2.0,installed,no,,7380,776.0,0,0,,house,house,0,0
1702,1921,135.0,275000.0,,3.0,3.0,,,,9600,537.0,0,0,,house,house,0,0
1704,1923,334.0,519000.0,good,2.0,3.0,installed,no,,8450,162.0,0,0,,house,house,0,0
1705,1924,328.0,800000.0,to be done up,2.0,4.0,,no,,1000,127.0,1,1,,house,house,1,38
1706,1925,509.0,2285000.0,,2.0,5.0,,no,,1000,304.0,1,8,,house,house,1,200
1707,1926,264.0,275000.0,,2.0,4.0,not installed,no,,7950,355.0,0,0,,house,house,0,0
1708,1927,206.0,340000.0,,2.0,3.0,installed,no,,2560,133.0,1,11,,house,house,1,41
1709,1928,128.0,175000.0,to be done up,2.0,1.0,semi equipped,no,,6600,110.0,0,0,,house,house,1,55
1710,1929,140.0,285000.0,as new,4.0,3.0,hyper equipped,,,4570,819.0,1,30,,house,house,1,600
1711,1930,132.0,265000.0,good,2.0,3.0,installed,no,,4000,107.0,1,30,,house,house,0,0
1713,1932,761.0,2150000.0,as new,4.0,5.0,,no,,1860,17786.0,0,0,True,house,exceptiona,0,0
1714,1933,243.0,199900.0,,3.0,3.0,,no,,6044,560.0,1,15,,house,house,1,475
1716,1935,310.0,519000.0,just renovated,,3.0,,,,8380,464.0,0,0,,house,mixed,0,0
1717,1936,145.0,279000.0,good,3.0,3.0,,,,9120,192.0,0,0,,house,house,0,0
1718,1939,127.0,462800.0,as new,,2.0,,no,,8000,221.0,0,0,,house,house,0,0
1719,1940,625.0,749000.0,,4.0,6.0,,no,1.0,4000,2730.0,0,0,,house,exceptiona,0,0
1720,1941,191.0,385000.0,,4.0,3.0,,no,1.0,1730,978.0,0,0,,house,villa,0,0
1721,1942,131.0,289114.0,,3.0,3.0,,,,8800,248.0,0,0,,house,house,0,0
1722,1943,575.0,1275000.0,as new,4.0,4.0,installed,no,,8434,652.0,0,0,,house,villa,0,0
1723,1944,170.0,570000.0,,2.0,4.0,installed,no,,1170,250.0,0,0,,house,house,1,150
1724,1945,463.0,1095000.0,good,,4.0,installed,no,,8300,9981.0,0,0,,house,manor,0,0
1725,1946,220.0,565000.0,just renovated,4.0,4.0,hyper equipped,yes,1.0,3090,600.0,1,30,,house,villa,1,480
1726,1947,154.0,442094.0,,,3.0,installed,no,,7181,568.0,1,25,,house,house,0,0
1727,1948,194.0,198000.0,,2.0,4.0,installed,no,,6032,560.0,1,30,,house,house,1,400
1728,1949,206.0,190000.0,,4.0,5.0,semi equipped,no,1.0,5660,634.0,0,0,,house,house,1,450
1731,1952,184.0,375000.0,to be done up,3.0,3.0,installed,,,1390,1070.0,0,0,,house,house,1,1070
1732,1953,250.0,650000.0,,,5.0,,,1.0,7750,14747.0,0,0,,house,house,0,0
1733,1954,170.0,395000.0,as new,3.0,3.0,installed,no,,9070,265.0,1,20,,house,house,1,1
1734,1955,148.0,175000.0,as new,2.0,3.0,installed,no,,5060,59.0,1,6,,house,town,0,0
1735,1956,290.0,685000.0,good,4.0,5.0,hyper equipped,no,,1390,733.0,0,0,,house,exceptiona,0,0
1736,1957,345.0,690000.0,to renovate,4.0,4.0,installed,,,3290,42141.0,0,0,True,house,house,0,0
1737,1958,105.0,259000.0,good,4.0,3.0,installed,no,,6900,1244.0,1,15,,house,house,1,1244
1738,1959,300.0,379000.0,good,4.0,3.0,usa installed,no,,9630,914.0,0,0,,house,house,0,0
1740,1961,205.0,341226.0,,3.0,3.0,installed,no,,8870,300.0,0,0,,house,villa,0,0
1741,1962,858.0,895000.0,good,,10.0,not installed,no,,6767,8900.0,0,0,,house,house,0,0
1743,1964,140.0,390000.0,just renovated,2.0,3.0,,no,,2650,150.0,1,10,,house,house,1,40
1745,1966,900.0,2850000.0,as new,4.0,6.0,,,1.0,1420,3161.0,0,0,True,house,villa,0,0
1747,1968,262.0,495000.0,just renovated,2.0,3.0,usa installed,no,,1400,390.0,1,35,,house,house,1,300
1748,1969,145.0,253300.0,,2.0,3.0,,,,8760,343.0,0,0,,house,house,0,0
1749,1970,315.0,495000.0,good,4.0,3.0,semi equipped,no,,7750,1586.0,0,0,,house,villa,0,0
1750,1971,265.0,425000.0,,3.0,3.0,usa installed,no,,2590,442.0,1,23,,house,house,1,220
1751,1973,101.0,565000.0,just renovated,4.0,2.0,,no,,3001,530.0,1,49,,house,villa,0,0
1752,1974,164.0,240000.0,good,3.0,2.0,installed,no,1.0,8691,164.0,1,1,,house,house,1,80
1753,1975,132.0,280000.0,good,4.0,2.0,installed,no,,9520,777.0,0,0,,house,house,0,0
1754,1976,738.0,985000.0,as new,,,,,,3620,617.0,0,0,,house,apartment,0,0
1756,1979,150.0,239000.0,good,4.0,4.0,installed,,,5620,732.0,1,12,,house,villa,0,0
1757,1980,232.0,695000.0,as new,4.0,4.0,hyper equipped,no,,3010,724.0,1,20,,house,villa,1,534
1758,1981,439.0,775000.0,as new,,7.0,hyper equipped,no,,8370,785.0,0,0,,house,villa,1,585
1759,1982,450.0,1350000.0,as new,4.0,6.0,usa hyper equipped,no,,1150,900.0,1,45,,house,villa,1,600
1761,1984,301.0,650000.0,,4.0,6.0,installed,no,,9700,680.0,0,0,,house,house,0,0
1762,1985,222.0,825000.0,to renovate,4.0,3.0,hyper equipped,no,,1150,555.0,1,20,,house,house,0,0
1764,1988,161.0,314000.0,as new,3.0,3.0,usa hyper equipped,no,,1360,281.0,0,0,,house,house,0,0
1765,1989,130.0,259500.0,good,4.0,5.0,semi equipped,no,,4458,1054.0,0,0,,house,house,1,650
1767,1991,91.0,279000.0,just renovated,2.0,2.0,installed,no,,9200,280.0,1,15,,house,other,1,280
1769,1993,90.0,119000.0,to be done up,2.0,3.0,,no,,4683,1070.0,1,30,,house,house,1,830
1770,1994,143.0,435000.0,good,4.0,4.0,not installed,no,1.0,3090,450.0,0,0,,house,villa,0,0
1771,1995,200.0,325000.0,as new,4.0,3.0,usa hyper equipped,no,,7300,804.0,1,35,,house,villa,1,625
1772,1999,158.0,508000.0,good,4.0,4.0,semi equipped,no,,1650,1298.0,0,0,,house,villa,0,0
1773,2000,928.0,895000.0,,,4.0,installed,,,9850,2100.0,0,0,True,house,house,1,1250
1774,2001,500.0,2450000.0,as new,4.0,6.0,usa hyper equipped,,,1640,2589.0,1,60,,house,villa,0,0
1775,2002,165.0,285000.0,as new,,3.0,,no,,2660,240.0,0,0,,house,house,1,155
1776,2004,145.0,309000.0,as new,,3.0,,no,,8200,103.0,0,0,,house,house,0,0
1777,2005,148.0,302500.0,as new,3.0,3.0,,no,,8800,278.0,0,0,,house,house,0,0
1778,2006,315.0,170000.0,,4.0,4.0,,,,2580,1355.0,0,0,,house,house,0,0
1779,2007,142.0,239000.0,as new,2.0,3.0,installed,no,,6150,269.0,0,0,,house,house,0,0
1781,2009,156.0,179000.0,just renovated,2.0,4.0,semi equipped,no,,7700,285.0,1,30,,house,house,1,170
1783,2011,182.0,415000.0,good,2.0,5.0,,no,,3360,597.0,0,0,,house,house,1,502
1784,2012,349.0,1400000.0,good,4.0,4.0,,no,,8340,7080.0,0,0,,house,manor,0,0
1785,2014,450.0,575000.0,to renovate,4.0,6.0,,,,1325,1525.0,0,0,,house,country,0,0
1786,2015,100.0,229000.0,to be done up,,2.0,semi equipped,no,,9991,635.0,0,0,,house,house,0,0
1788,2017,135.0,182900.0,just renovated,2.0,1.0,,no,,1400,84.0,0,0,,house,house,0,0
1789,2018,231.0,445000.0,as new,3.0,3.0,,,,3210,368.0,0,0,,house,house,0,0
1790,2019,375.0,348000.0,to renovate,,10.0,not installed,no,,9600,693.0,0,0,,house,house,0,0
1791,2020,200.0,449000.0,as new,4.0,6.0,,no,,6750,1513.0,1,30,,house,house,1,1513
1792,2021,168.0,545000.0,,,3.0,,no,,9800,226.0,1,23,,house,house,1,126
1793,2023,134.0,76000.0,to renovate,2.0,2.0,not installed,no,,7080,190.0,0,0,,house,house,0,0
1794,2024,150.0,257000.0,,3.0,3.0,,no,,4347,1085.0,0,0,,house,house,0,0
1795,2025,270.0,165000.0,to renovate,2.0,3.0,not installed,,,6061,100.0,0,0,,house,house,1,100
1796,2026,300.0,1100000.0,as new,2.0,3.0,installed,,,1640,253.0,1,50,,house,house,0,0
1797,2027,182.0,249000.0,good,,3.0,installed,no,1.0,8970,1024.0,0,0,,house,house,0,0
1798,2028,439.0,199000.0,to renovate,2.0,4.0,semi equipped,,,3720,442.0,0,0,,house,mansion,0,0
1800,2030,435.0,2450000.0,as new,4.0,7.0,hyper equipped,no,,1160,1632.0,1,20,True,house,exceptiona,1,1000
1801,2031,300.0,335000.0,good,2.0,8.0,,no,,4800,230.0,0,0,,house,apartment,1,28
1802,2032,450.0,845000.0,as new,4.0,7.0,installed,no,1.0,1370,1535.0,0,0,,house,house,0,0
1803,2033,110.0,134000.0,to renovate,,3.0,semi equipped,no,,5150,287.0,0,0,,house,house,0,0
1804,2034,620.0,1500000.0,as new,4.0,3.0,installed,no,1.0,2520,4048.0,1,54,True,house,villa,0,0
1805,2035,250.0,350000.0,,,3.0,installed,,,7181,1569.0,0,0,,house,country,0,0
1807,2037,213.0,190000.0,to be done up,2.0,4.0,installed,,,5580,990.0,1,18,,house,house,1,890
1810,2040,103.0,250000.0,,2.0,3.0,,no,,9600,393.0,1,20,,house,house,0,0
1811,2041,115.0,299900.0,good,,4.0,installed,no,,9000,154.0,0,0,,house,house,0,0
1813,2044,144.0,378800.0,as new,3.0,3.0,hyper equipped,,,2845,476.0,0,0,,house,house,0,0
1814,2045,130.0,380000.0,as new,3.0,3.0,installed,no,,2950,450.0,1,20,,house,house,1,260
1815,2046,170.0,245000.0,good,,3.0,,no,,8500,162.0,0,0,,house,house,0,0
1817,2048,212.0,425000.0,as new,,4.0,hyper equipped,no,,8200,207.0,0,0,,house,house,0,0
1818,2049,96.0,135000.0,good,,3.0,installed,no,,8930,64.0,0,0,,house,house,0,0
1820,2052,190.0,475000.0,good,4.0,3.0,installed,no,,9930,1506.0,0,0,,house,house,0,0
1821,2053,194.0,328000.0,as new,,3.0,,,,9550,779.0,0,0,,house,house,0,0
1822,2054,186.0,370000.0,good,3.0,3.0,installed,no,,8490,295.0,0,0,,house,house,0,0
1823,2055,179.0,525000.0,to be done up,4.0,4.0,semi equipped,,1.0,1380,2100.0,0,0,,house,house,0,0
1824,2056,238.0,345000.0,to be done up,,4.0,installed,no,,8490,1075.0,0,0,,house,house,0,0
1825,2057,210.0,369000.0,to be done up,2.0,2.0,semi equipped,no,,3010,70.0,0,0,,house,house,0,0
1826,2058,221.0,299000.0,,2.0,5.0,installed,no,,9200,160.0,0,0,,house,mixed,1,40
1827,2059,184.0,189000.0,to renovate,2.0,4.0,semi equipped,no,,8820,155.0,0,0,,house,house,0,0
1828,2060,527.0,1650000.0,,,5.0,hyper equipped,,1.0,9000,263.0,0,0,,house,mansion,0,0
1829,2061,138.0,360000.0,,2.0,3.0,installed,no,,2630,192.0,1,10,,house,house,1,80
1832,2065,168.0,245000.0,good,2.0,2.0,installed,,,7090,160.0,0,0,,house,town,1,112
1833,2066,130.0,274500.0,good,2.0,3.0,hyper equipped,no,,1654,179.0,0,0,,house,house,1,4327
1834,2067,140.0,260000.0,to renovate,,3.0,,no,,9520,570.0,1,24,,house,house,1,330
1838,2071,130.0,439660.0,,4.0,3.0,,no,,8020,976.0,0,0,,house,house,0,0
1839,2072,80.0,169000.0,good,2.0,,,no,,4460,87.0,0,0,,house,mixed,0,0
1840,2073,142.0,360000.0,,,3.0,,,,8670,489.0,0,0,,house,house,0,0
1841,2074,103.0,245000.0,,3.0,3.0,,no,,9600,329.0,1,20,,house,house,0,0
1842,2075,160.0,585000.0,good,4.0,3.0,installed,no,1.0,1380,1250.0,1,60,,house,house,1,900
1843,2076,159.0,270000.0,as new,4.0,3.0,installed,no,,7080,795.0,0,0,,house,house,0,0
1844,2077,149.0,322000.0,to be done up,,4.0,,no,,9000,66.0,0,0,,house,house,1,9
1845,2078,280.0,695000.0,to be done up,4.0,6.0,installed,no,,1420,890.0,1,40,,house,villa,1,470
1846,2079,515.0,1950000.0,as new,3.0,5.0,installed,,1.0,1000,600.0,0,0,,house,house,0,0
1847,2080,152.0,259500.0,as new,2.0,4.0,not installed,no,,9600,216.0,1,15,,house,house,1,149
1848,2081,111.0,169000.0,,2.0,2.0,installed,no,,8020,93.0,0,0,,house,house,0,0
1849,2082,137.0,340000.0,,,3.0,,no,,1070,106.0,0,0,,house,house,0,0
1850,2084,120.0,169000.0,to renovate,2.0,3.0,not installed,no,,4340,484.0,1,13,,house,house,1,280
1851,2085,112.0,262000.0,,,3.0,,,,8830,248.0,0,0,,house,house,0,0
1853,2087,176.0,319500.0,,2.0,3.0,,no,,8510,218.0,1,14,,house,house,0,0
1855,2089,315.0,1100000.0,as new,3.0,4.0,hyper equipped,no,4.0,2000,78.0,1,14,,house,mansion,0,0
1857,2091,400.0,1625000.0,good,2.0,6.0,installed,,,1040,575.0,0,0,,house,mansion,0,0
1858,2092,65.0,95000.0,to be done up,2.0,1.0,,no,,8500,95.0,0,0,,house,house,0,0
1859,2093,86.0,100000.0,good,2.0,2.0,semi equipped,no,,7390,121.0,1,6,,house,house,1,11
1860,2094,430.0,3600000.0,just renovated,4.0,3.0,,no,,1380,4250.0,0,0,,house,villa,0,0
1861,2095,174.0,360000.0,to be done up,4.0,4.0,installed,no,1.0,5020,2606.0,1,10,,house,house,0,0
1862,2096,280.0,634000.0,as new,3.0,3.0,installed,,,8000,75.0,1,6,,house,house,0,0
1864,2098,246.0,249000.0,as new,3.0,4.0,semi equipped,no,,4800,139.0,1,14,,house,mixed,0,0
1865,2099,301.0,449000.0,good,2.0,5.0,installed,no,,3300,350.0,1,27,,house,mansion,1,247
1866,2100,115.0,200000.0,just renovated,,3.0,,,,8800,190.0,0,0,,house,house,0,0
1867,2101,230.0,570000.0,,3.0,4.0,installed,no,,1070,139.0,0,0,,house,house,1,73
1868,2102,1500.0,560000.0,to renovate,3.0,5.0,installed,no,,6750,763.0,0,0,,house,mixed,0,0
1869,2103,138.0,280000.0,to be done up,2.0,3.0,semi equipped,no,,9300,255.0,0,0,,house,house,1,120
1870,2105,180.0,360000.0,good,3.0,3.0,,no,,8500,468.0,0,0,,house,house,0,0
1871,2106,417.0,495000.0,as new,3.0,6.0,hyper equipped,no,,4500,940.0,0,0,,house,mansion,1,517
1872,2108,120.0,295000.0,to renovate,,3.0,,no,,3001,130.0,0,0,,house,house,0,0
1873,2109,520.0,1250000.0,as new,2.0,8.0,hyper equipped,no,,7520,1100.0,0,0,True,house,house,1,1000
1874,2111,165.0,349000.0,good,2.0,4.0,installed,no,,2870,287.0,0,0,,house,house,1,100
1877,2114,222.0,421434.0,,4.0,3.0,,,,8870,411.0,0,0,,house,villa,0,0
1878,2115,156.0,259000.0,good,2.0,3.0,semi equipped,no,,9320,358.0,0,0,,house,house,1,250
1879,2117,228.0,318000.0,,3.0,3.0,installed,no,,4837,387.0,1,17,,house,house,1,387
1880,2118,460.0,879000.0,as new,3.0,4.0,hyper equipped,no,,9550,4775.0,1,150,,house,country,1,3000
1881,2119,205.0,385000.0,,2.0,3.0,installed,no,,9190,260.0,0,0,,house,house,0,0
1882,2120,155.0,318000.0,as new,,4.0,hyper equipped,no,,8470,217.0,0,0,,house,house,0,0
1883,2121,235.0,379000.0,good,3.0,5.0,installed,no,,1367,624.0,1,30,,house,house,1,500
1884,2122,270.0,630000.0,good,3.0,6.0,installed,,,8310,315.0,1,3,,house,apartment,1,35
1885,2123,226.0,150000.0,,3.0,3.0,installed,,,3800,410.0,0,0,,house,house,0,0
1886,2124,306.0,735000.0,as new,4.0,3.0,installed,no,,2280,1542.0,0,0,True,house,villa,0,0
1887,2125,127.0,332277.0,,3.0,3.0,,,,8870,250.0,0,0,,house,villa,0,0
1888,2126,233.0,399000.0,just renovated,4.0,3.0,installed,no,,9500,450.0,1,35,,house,house,1,300
1889,2127,117.0,279500.0,,3.0,4.0,not installed,no,,4620,164.0,0,0,,house,house,1,308
1891,2129,171.0,395000.0,to renovate,4.0,3.0,,no,,3120,3144.0,0,0,,house,house,0,0
1892,2130,103.0,165000.0,to renovate,2.0,2.0,installed,no,,9600,150.0,0,0,,house,house,1,30
1893,2131,138.0,262000.0,,,4.0,,,,8800,227.0,0,0,,house,house,0,0
1894,2132,461.0,595000.0,,,3.0,,,,8000,218.0,0,0,,house,house,0,0
1895,2133,217.0,361215.0,,4.0,3.0,,no,,1370,344.0,1,30,,house,villa,1,190
1896,2134,189.0,870000.0,just renovated,2.0,4.0,,no,,1050,122.0,0,0,,house,house,1,42
1897,2135,122.0,150000.0,good,3.0,2.0,installed,no,,7387,320.0,0,0,,house,house,0,0
1899,2137,122.0,279000.0,as new,2.0,1.0,hyper equipped,no,,9270,422.0,1,20,,house,house,1,330
1901,2140,237.0,650000.0,as new,3.0,4.0,usa hyper equipped,no,1.0,1702,420.0,1,20,,house,exceptiona,1,270
1902,2141,280.0,995000.0,good,4.0,4.0,installed,no,,1780,942.0,1,55,,house,villa,1,500
1904,2143,148.0,265000.0,,2.0,4.0,,no,,1502,265.0,0,0,,house,house,0,0
1905,2144,142.0,320000.0,to be done up,4.0,3.0,usa hyper equipped,no,,9940,709.0,0,0,,house,bungalow,0,0
1906,2145,94.0,889000.0,good,2.0,3.0,,,,8300,34.0,0,0,,house,house,0,0
1907,2147,440.0,1350000.0,as new,2.0,4.0,,,,2000,229.0,0,0,,house,house,0,0
1909,2150,349.0,409000.0,good,3.0,4.0,hyper equipped,no,,9472,550.0,0,0,,house,house,1,350
1910,2151,304.0,675000.0,as new,2.0,3.0,usa hyper equipped,,,1000,71.0,1,40,,house,mixed,0,0
1911,2152,231.0,443300.0,,3.0,3.0,installed,no,,9900,375.0,0,0,,house,house,0,0
1912,2153,223.0,249000.0,to be done up,,4.0,semi equipped,no,,8800,580.0,0,0,,house,house,0,0
1913,2155,101.0,100000.0,good,2.0,2.0,installed,no,,7390,290.0,0,0,,house,house,0,0
1915,2157,343.0,1100000.0,good,4.0,4.0,not installed,no,1.0,1310,1860.0,0,0,,house,villa,0,0
1916,2158,85.0,259000.0,good,,3.0,installed,no,,8400,85.0,0,0,,house,house,0,0
1918,2161,147.0,335000.0,,4.0,3.0,,no,,2230,1245.0,0,0,,house,house,0,0
1920,2164,189.0,220000.0,to be done up,2.0,3.0,installed,no,,9600,231.0,1,25,,house,mansion,1,75
