,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface
418,471,180.0,450000.0,,2.0,5.0,installed,no,,9000,58.0,0,0,,house,house,0,0
419,472,165.0,359000.0,as new,2.0,3.0,hyper equipped,no,,1930,149.0,1,12,,house,house,1,70
420,473,140.0,385000.0,as new,2.0,3.0,hyper equipped,,,1420,267.0,1,25,,house,house,0,0
421,474,187.0,199000.0,to renovate,,3.0,,,,8791,436.0,0,0,,house,house,0,0
422,475,540.0,2800000.0,as new,4.0,6.0,usa hyper equipped,,,1640,2205.0,1,60,,house,house,1,2200
423,476,175.0,395000.0,,2.0,3.0,installed,no,,9820,63.0,0,0,,house,house,0,0
424,478,136.0,330000.0,,3.0,3.0,,no,,9700,292.0,0,0,,house,house,0,0
425,479,165.0,649000.0,as new,2.0,6.0,installed,no,,2018,100.0,0,0,,house,apartment,0,0
426,480,200.0,490000.0,good,3.0,3.0,,no,,3040,417.0,0,0,,house,house,0,0
427,481,370.0,545000.0,,,5.0,,,1.0,8840,710.0,0,0,,house,house,0,0
429,483,239.0,569000.0,to renovate,2.0,6.0,installed,no,2.0,9000,104.0,1,8,,house,mansion,0,0
430,484,474.0,550000.0,,2.0,4.0,,no,,1500,229.0,0,0,,house,house,0,0
431,485,175.0,425000.0,,,4.0,hyper equipped,no,,8490,604.0,0,0,,house,house,0,0
432,486,290.0,225000.0,just renovated,2.0,6.0,installed,no,,6210,160.0,0,0,,house,house,0,0
433,488,400.0,2600000.0,,4.0,5.0,hyper equipped,no,,1180,1425.0,1,60,,house,villa,1,700
434,489,240.0,995000.0,good,2.0,4.0,installed,no,,2000,48.0,0,0,,house,apartment,0,0
435,490,136.0,298000.0,,,3.0,,no,,9880,167.0,0,0,,house,house,0,0
436,491,265.0,748000.0,good,3.0,4.0,installed,no,,9000,165.0,1,30,,house,house,1,65
437,492,174.0,275000.0,good,2.0,5.0,installed,no,,9400,280.0,0,0,,house,house,0,0
438,493,465.0,2890000.0,as new,4.0,6.0,usa hyper equipped,no,,1180,1400.0,1,90,True,house,villa,0,0
440,495,156.0,450000.0,to renovate,2.0,4.0,installed,no,,9000,94.0,0,0,,house,house,0,0
442,497,172.0,249000.0,,3.0,3.0,,,,2240,560.0,0,0,,house,house,0,0
443,498,152.0,349000.0,,,3.0,,,,2590,261.0,0,0,,house,house,0,0
444,499,636.0,625000.0,to be done up,4.0,6.0,installed,no,,7620,2000.0,1,32,,house,country,1,1200
445,500,144.0,425507.0,,3.0,3.0,,,,3020,420.0,0,0,,house,house,0,0
446,502,450.0,590000.0,,2.0,5.0,not installed,no,,1653,362.0,1,24,,house,mixed,0,0
447,503,210.0,329000.0,good,4.0,5.0,usa semi equipped,no,,4520,994.0,1,40,,house,apartment,1,60
448,504,114.0,249000.0,as new,,4.0,,,,8510,291.0,0,0,,house,house,0,0
449,505,253.0,788000.0,as new,4.0,4.0,hyper equipped,,,3360,809.0,0,0,,house,villa,0,0
450,506,600.0,1170000.0,,,10.0,,no,,1082,354.0,0,0,,house,house,0,0
451,509,220.0,425000.0,good,,5.0,installed,no,,3320,860.0,0,0,,house,house,0,0
452,511,300.0,295000.0,to renovate,,3.0,,,,8501,1062.0,0,0,,house,house,0,0
453,512,80.0,230000.0,as new,,3.0,hyper equipped,no,,8434,206.0,0,0,,house,house,0,0
454,513,172.0,262110.0,,,3.0,installed,,,3473,367.0,0,0,,house,house,1,300
455,514,170.0,185000.0,to be done up,3.0,3.0,semi equipped,no,,4520,428.0,1,9,,house,house,1,369
456,515,188.0,265000.0,as new,3.0,4.0,,,,4460,115.0,1,19,,house,house,1,115
457,516,180.0,399000.0,to renovate,,9.0,,,,3500,130.0,0,0,,house,house,0,0
459,518,164.0,345000.0,good,3.0,3.0,,no,,9750,342.0,0,0,,house,house,0,0
460,520,129.0,315000.0,,3.0,3.0,,no,,1540,162.0,0,0,,house,house,0,0
461,521,588.0,2200000.0,to be done up,4.0,5.0,,,,1180,1300.0,0,0,,house,villa,0,0
462,522,413.0,349000.0,to be done up,,4.0,,,,9300,91.0,1,13,,house,house,0,0
463,523,370.0,685000.0,good,2.0,4.0,installed,no,,6700,790.0,1,91,,house,mixed,0,0
464,526,236.0,308000.0,,3.0,3.0,installed,no,,4837,518.0,1,16,,house,house,1,518
465,527,329.0,515000.0,,3.0,6.0,hyper equipped,,,2100,345.0,0,0,,house,exceptiona,0,0
466,528,126.0,105000.0,good,3.0,3.0,semi equipped,no,,7390,20.0,0,0,,house,house,0,0
467,529,173.0,229000.0,to be done up,2.0,2.0,installed,no,,8400,103.0,0,0,,house,mixed,0,0
468,530,280.0,395000.0,just renovated,2.0,4.0,hyper equipped,no,,8930,405.0,1,42,,house,house,1,116
469,531,135.0,275000.0,,3.0,3.0,,,,9600,537.0,0,0,,house,house,0,0
471,533,578.0,1060000.0,as new,4.0,8.0,hyper equipped,,1.0,1457,1538.0,0,0,True,house,villa,0,0
472,534,130.0,399000.0,just renovated,2.0,3.0,installed,no,,2100,120.0,1,12,,house,house,1,30
473,535,350.0,595000.0,to be done up,2.0,12.0,not installed,no,,4020,231.0,1,40,,house,apartment,0,0
475,537,550.0,1500000.0,good,4.0,4.0,,no,1.0,1390,1850.0,0,0,True,house,villa,0,0
477,539,132.0,495000.0,good,4.0,3.0,usa hyper equipped,no,1.0,1933,298.0,1,18,,house,house,1,190
479,541,192.0,430000.0,good,4.0,3.0,installed,no,1.0,1785,484.0,1,16,,house,house,0,0
480,542,124.0,150000.0,,,2.0,,,,3511,930.0,0,0,,house,house,0,0
481,543,160.0,159000.0,good,2.0,4.0,installed,no,,7340,174.0,0,0,,house,house,0,0
482,544,114.0,256984.0,,3.0,3.0,,no,,8790,346.0,0,0,,house,house,0,0
483,545,135.0,275000.0,,3.0,3.0,,,,9600,537.0,0,0,,house,house,0,0
484,546,286.0,669000.0,as new,3.0,4.0,hyper equipped,no,,3360,399.0,1,21,,house,house,0,0
485,547,212.0,269000.0,good,3.0,6.0,installed,no,,4610,433.0,0,0,,house,house,0,0
486,548,222.0,337500.0,as new,3.0,3.0,hyper equipped,,,3700,160.0,1,21,,house,house,1,62
487,550,290.0,330000.0,to be done up,4.0,3.0,semi equipped,no,1.0,7950,3200.0,0,0,,house,house,0,0
489,552,130.0,277700.0,,,3.0,,no,,9100,225.0,0,0,,house,house,0,0
490,553,180.0,450000.0,good,4.0,6.0,semi equipped,yes,,5560,3945.0,0,0,,house,villa,1,3945
492,555,216.0,1149000.0,just renovated,,4.0,usa hyper equipped,no,,8300,780.0,0,0,True,house,house,0,0
493,557,146.0,345000.0,good,,4.0,not installed,no,,4000,5.0,1,5,,house,apartment,0,0
494,558,114.0,268424.0,,3.0,3.0,,no,,8790,346.0,0,0,,house,house,0,0
495,559,125.0,249000.0,just renovated,4.0,3.0,usa installed,,,4432,394.0,1,13,,house,house,1,209
497,561,309.0,410000.0,as new,3.0,4.0,hyper equipped,no,,6720,380.0,0,0,,house,house,1,150
498,562,108.0,235000.0,good,2.0,2.0,semi equipped,no,,4300,430.0,1,1,,house,house,1,358
500,564,238.0,449000.0,good,3.0,4.0,hyper equipped,,1.0,1420,228.0,0,0,,house,house,0,0
501,565,140.0,265000.0,just renovated,2.0,3.0,,no,,2870,334.0,1,49,,house,house,1,163
504,568,162.0,199900.0,just renovated,2.0,3.0,hyper equipped,no,,9600,94.0,1,20,,house,house,0,0
505,569,257.0,360000.0,,2.0,4.0,installed,,,3000,388.0,0,0,,house,house,0,0
507,571,205.0,355000.0,good,,3.0,installed,no,,9090,235.0,0,0,,house,house,0,0
508,572,130.0,300000.0,,3.0,3.0,hyper equipped,,,8400,163.0,1,15,,house,villa,0,0
509,574,195.0,259480.0,as new,3.0,5.0,installed,no,,7712,407.0,1,25,,house,house,1,247
511,576,200.0,398000.0,just renovated,4.0,3.0,installed,no,,6120,1375.0,1,10,,house,house,1,1175
513,578,40.0,112000.0,good,4.0,1.0,installed,no,,4040,215.0,0,0,,house,house,1,165
514,579,140.0,349600.0,as new,3.0,3.0,hyper equipped,,,9255,500.0,0,0,,house,house,0,0
516,581,85.0,99000.0,good,3.0,2.0,semi equipped,no,,6000,270.0,0,0,,house,house,0,0
517,582,220.0,980000.0,as new,4.0,5.0,,,,1640,1800.0,0,0,,house,villa,0,0
518,583,142.0,219000.0,as new,,3.0,installed,no,,8755,233.0,0,0,,house,house,0,0
519,584,75.0,150000.0,to renovate,2.0,3.0,installed,yes,,8370,61.0,1,30,,house,house,0,0
520,585,152.0,170000.0,to be done up,2.0,5.0,installed,no,,4100,461.0,1,25,,house,house,1,220
521,586,145.0,70000.0,to be done up,2.0,4.0,installed,,,4000,75.0,0,0,,house,house,0,0
522,587,169.0,379000.0,good,,3.0,installed,no,,1600,1215.0,0,0,,house,house,0,0
524,590,130.0,135000.0,good,2.0,4.0,semi equipped,no,,7000,107.0,0,0,,house,house,0,0
525,591,178.0,490000.0,good,4.0,3.0,installed,no,1.0,1300,948.0,1,35,,house,villa,1,600
