,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,subtype,Province,Zone,zone_num
3401,3845,133.0,335000,,2.0,3.0,,,,9960,206.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3402,3846,218.0,396000,just renovated,3.0,3.0,installed,,2.0,1480,462.0,1,70,,house,house,1,462,1,Walloon Brabant,Wallonia_zone,2
3403,3847,180.0,89000,to renovate,2.0,3.0,not installed,,,6870,96.0,0,0,,house,mixed,0,0,3,Luxembourg,Wallonia_zone,2
3404,3848,160.0,370000,,,4.0,,,,9030,126.0,1,13,,house,house,1,30,1,East Flanders,Flanders_zone,3
3405,3849,152.0,230000,to be done up,,3.0,semi equipped,,,8950,603.0,0,0,,house,house,1,1,1,West Flanders,Flanders_zone,3
3406,3850,193.0,239000,,,4.0,,,,8800,149.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3407,3851,270.0,564000,good,3.0,5.0,installed,,,6717,1072.0,0,0,,house,villa,0,0,2,Luxembourg,Wallonia_zone,2
3408,3852,524.0,1975000,to be done up,4.0,4.0,,,1.0,1460,18295.0,0,0,True,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
3409,3853,135.0,351500,,,3.0,,,,9120,155.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3410,3854,180.0,345000,good,,5.0,installed,,,1440,148.0,1,21,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
3411,3855,131.0,375000,good,,3.0,installed,,,1420,345.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
3412,3856,107.0,135000,just renovated,4.0,2.0,usa hyper equipped,,,6060,110.0,1,17,,house,house,0,0,1,Hainaut,Wallonia_zone,2
3413,3857,114.0,277527,,3.0,3.0,,,,8790,346.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3416,3860,244.0,493000,as new,3.0,4.0,hyper equipped,,,3051,439.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3417,3861,210.0,275000,good,2.0,4.0,installed,,,9320,430.0,1,40,,house,mixed,1,310,3,East Flanders,Flanders_zone,3
3419,3865,140.0,235000,to renovate,4.0,3.0,semi equipped,,,4530,1423.0,0,0,,house,bungalow,1,1300,9,Liège,Wallonia_zone,2
3420,3866,187.0,550000,as new,4.0,3.0,hyper equipped,,,7000,1802.0,1,58,,house,villa,1,1600,2,Hainaut,Wallonia_zone,2
3421,3870,500.0,845000,to be done up,2.0,11.0,semi equipped,,,9320,396.0,0,0,,house,apartment,0,0,4,East Flanders,Flanders_zone,3
3422,3871,350.0,600000,good,2.0,3.0,hyper equipped,,1.0,9030,178.0,1,23,,house,mixed,0,0,3,East Flanders,Flanders_zone,3
3423,3872,109.0,125000,to be done up,2.0,2.0,semi equipped,,,4040,481.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
3424,3874,225.0,1045000,as new,4.0,4.0,usa installed,,,7540,1472.0,1,50,True,house,house,0,0,1,Hainaut,Wallonia_zone,2
3425,3875,130.0,195000,good,3.0,2.0,installed,,,3400,99.0,1,7,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3426,3876,176.0,399000,as new,4.0,3.0,usa installed,,,5020,406.0,1,200,,house,house,1,300,1,Namur,Wallonia_zone,2
3427,3877,142.0,335000,to be done up,2.0,4.0,installed,,,1800,135.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3428,3878,160.0,249000,good,4.0,5.0,semi equipped,,,5060,583.0,1,44,,house,house,1,406,1,Namur,Wallonia_zone,2
3429,3879,188.0,459000,good,2.0,3.0,installed,,,1790,1089.0,1,25,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
3430,3880,584.0,389000,good,3.0,7.0,installed,,,8480,977.0,0,0,,house,mixed,0,0,3,West Flanders,Flanders_zone,3
3431,3881,148.0,420000,to be done up,3.0,2.0,hyper equipped,,,9308,719.0,1,40,True,house,bungalow,0,0,9,East Flanders,Flanders_zone,3
3432,3882,275.0,419900,good,4.0,3.0,installed,,,6180,2317.0,1,45,True,house,villa,1,2000,2,Hainaut,Wallonia_zone,2
3433,3883,89.0,199000,,2.0,3.0,not installed,,,4040,372.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
3434,3884,191.0,522000,just renovated,2.0,3.0,installed,,,9000,152.0,0,0,,house,house,1,47,1,East Flanders,Flanders_zone,3
3436,3886,306.0,370000,to be done up,4.0,4.0,installed,,,7890,9447.0,0,0,,house,bungalow,0,0,9,Hainaut,Wallonia_zone,2
3437,3887,170.0,309000,good,4.0,5.0,semi equipped,,,4520,891.0,1,20,,house,house,1,600,1,Liège,Wallonia_zone,2
3438,3889,173.0,319000,,2.0,4.0,,,,8770,245.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3439,3890,125.0,261000,,,3.0,usa installed,,,9040,56.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
