,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,subtype,Province,Zone,zone_num
0,0,123.0,200000,good,3.0,2.0,installed,,,3294,429.0,0,0,,house,house,1,350,1,Flemish Brabant,Flanders_zone,3
1,3,255.0,698000,just renovated,4.0,4.0,installed,,,2070,1210.0,0,0,,house,villa,0,0,2,Antwerp,Flanders_zone,3
2,4,234.0,499000,as new,,5.0,,,,8800,744.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
3,5,219.0,717000,as new,,4.0,,,,8000,760.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
4,6,156.0,429000,good,4.0,4.0,installed,,,8800,419.0,0,0,,house,villa,1,90,2,West Flanders,Flanders_zone,3
5,7,140.0,279000,good,2.0,5.0,installed,,,9000,85.0,1,40,,house,house,0,0,1,East Flanders,Flanders_zone,3
6,8,256.0,210000,good,3.0,4.0,installed,,,7080,201.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
7,9,850.0,849000,good,2.0,9.0,,,,3300,615.0,1,20,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
8,10,161.0,295500,as new,,4.0,hyper equipped,,,5590,533.0,0,0,,house,house,1,631,1,Namur,Wallonia_zone,2
9,13,61.0,42000,to renovate,,1.0,,,,1460,194.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
10,14,160.0,229000,good,2.0,3.0,installed,,,6230,480.0,1,10,,house,house,1,400,1,Hainaut,Wallonia_zone,2
11,15,140.0,104500,to renovate,2.0,3.0,,,,4031,100.0,1,11,,house,house,1,31,1,Liège,Wallonia_zone,2
12,16,176.0,425000,as new,4.0,3.0,hyper equipped,,1.0,1400,735.0,1,40,,house,house,1,500,1,Walloon Brabant,Wallonia_zone,2
13,17,310.0,549000,as new,4.0,3.0,installed,,1.0,2490,1389.0,0,0,,house,villa,0,0,2,Antwerp,Flanders_zone,3
14,18,120.0,745000,good,2.0,3.0,,,,3000,60.0,1,12,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
15,19,170.0,265000,good,3.0,3.0,semi equipped,,,8580,742.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
16,20,182.0,150000,to renovate,2.0,4.0,,,,6880,341.0,1,33,,house,town,1,190,8,Luxembourg,Wallonia_zone,2
19,23,140.0,369000,,2.0,3.0,,,,9120,388.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
20,24,79.0,49000,to renovate,4.0,2.0,semi equipped,,,5640,220.0,1,8,,house,chalet,1,30,14,Namur,Wallonia_zone,2
21,26,70.0,90000,,2.0,2.0,usa semi equipped,,,7040,150.0,0,0,,house,house,1,60,1,Hainaut,Wallonia_zone,2
22,27,229.0,350000,good,,3.0,installed,,,1420,320.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
25,30,191.0,445000,good,4.0,5.0,installed,,,3140,2000.0,0,0,,house,house,1,1500,1,Flemish Brabant,Flanders_zone,3
26,31,154.0,286500,good,3.0,3.0,installed,,,8480,340.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
27,32,112.0,313599,as new,,3.0,,,,3370,143.0,1,16,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
28,33,240.0,849000,as new,4.0,5.0,installed,,,9880,15608.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
29,34,175.0,376250,as new,3.0,3.0,installed,,,4607,475.0,1,12,,house,house,0,0,1,Liège,Wallonia_zone,2
30,36,100.0,240000,good,,2.0,installed,,,6250,485.0,0,0,,house,villa,1,400,2,Hainaut,Wallonia_zone,2
31,37,80.0,120000,good,3.0,2.0,usa installed,,,7301,220.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
32,39,440.0,1290000,as new,4.0,7.0,hyper equipped,,,1410,1600.0,1,100,True,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
33,40,537.0,1850000,good,4.0,5.0,hyper equipped,,,1950,3225.0,1,40,,house,house,1,3000,1,Flemish Brabant,Flanders_zone,3
34,41,189.0,724000,as new,4.0,4.0,,,,9660,8487.0,0,0,,house,country,0,0,7,East Flanders,Flanders_zone,3
35,42,210.0,460000,as new,4.0,4.0,hyper equipped,,,1390,879.0,1,30,,house,house,1,762,1,Walloon Brabant,Wallonia_zone,2
36,43,147.0,209000,good,,3.0,installed,,,8800,354.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
37,44,182.0,285000,good,2.0,3.0,installed,,,3620,344.0,0,0,,house,house,0,0,1,Limburg,Flanders_zone,3
39,46,142.0,318000,,4.0,3.0,installed,,1.0,6534,807.0,1,40,,house,house,1,660,1,Hainaut,Wallonia_zone,2
41,49,1600.0,5100000,as new,4.0,9.0,usa hyper equipped,,,2950,6335.0,0,0,True,house,house,0,0,1,Antwerp,Flanders_zone,3
42,50,130.0,353000,good,3.0,3.0,installed,,,2800,141.0,1,12,,house,house,0,0,1,Antwerp,Flanders_zone,3
44,52,129.0,175000,good,4.0,2.0,installed,,,4500,120.0,1,12,,house,apartment,1,60,4,Liège,Wallonia_zone,2
45,53,350.0,1950000,as new,2.0,4.0,usa hyper equipped,,,1180,265.0,1,40,,house,house,1,30,1,Brussel-Capital,Brussels_zone,1
46,54,175.0,299000,,,3.0,,,,8920,353.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
47,55,154.0,314800,,3.0,3.0,,,,9990,630.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
48,56,125.0,127500,as new,3.0,2.0,usa semi equipped,,,7080,95.0,1,30,,house,house,0,0,1,Hainaut,Wallonia_zone,2
50,58,200.0,495000,good,4.0,5.0,hyper equipped,,,1480,1199.0,0,0,True,house,house,1,700,1,Walloon Brabant,Wallonia_zone,2
51,59,235.0,450000,as new,3.0,5.0,,,,3210,594.0,1,25,,house,house,1,500,1,Flemish Brabant,Flanders_zone,3
52,60,180.0,298000,,,5.0,,,,7700,175.0,0,0,,house,apartment,0,0,4,Hainaut,Wallonia_zone,2
53,61,215.0,319500,good,2.0,3.0,installed,,,2880,250.0,1,12,,house,house,0,0,1,Antwerp,Flanders_zone,3
54,62,75.0,295000,as new,2.0,2.0,installed,,,2830,155.0,0,0,,house,house,1,105,1,Antwerp,Flanders_zone,3
55,63,300.0,265000,to be done up,2.0,6.0,installed,yes,1.0,4000,200.0,0,0,,house,mansion,1,90,6,Liège,Wallonia_zone,2
56,64,127.0,320000,,3.0,3.0,hyper equipped,,,8400,163.0,1,36,,house,villa,0,0,2,West Flanders,Flanders_zone,3
57,65,173.0,140000,,3.0,3.0,not installed,,,2360,409.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
58,67,150.0,249000,good,4.0,3.0,installed,,,9260,1980.0,0,0,,house,chalet,0,0,14,East Flanders,Flanders_zone,3
59,68,430.0,995000,good,4.0,6.0,installed,,,1780,1818.0,1,70,,house,villa,1,1350,2,Flemish Brabant,Flanders_zone,3
60,69,150.0,325500,as new,2.0,3.0,installed,,,2850,199.0,1,24,,house,house,1,80,1,Antwerp,Flanders_zone,3
61,70,148.0,149500,good,2.0,3.0,semi equipped,,,4500,480.0,1,15,,house,house,1,430,1,Liège,Wallonia_zone,2
62,71,166.0,205000,good,2.0,3.0,not installed,,,2890,155.0,0,0,,house,house,1,82,1,Antwerp,Flanders_zone,3
63,72,1050.0,2450000,to renovate,4.0,10.0,hyper equipped,,,3090,3400.0,0,0,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
64,73,149.0,309000,as new,2.0,2.0,usa semi equipped,,,1140,50.0,1,45,True,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
66,75,105.0,430000,just renovated,,3.0,installed,,,3010,228.0,1,18,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
67,76,175.0,630000,just renovated,4.0,2.0,installed,,,9831,1073.0,0,0,,house,country,0,0,7,East Flanders,Flanders_zone,3
68,77,206.0,264500,,2.0,3.0,,,,9550,214.0,1,21,,house,house,0,0,1,East Flanders,Flanders_zone,3
70,79,140.0,296000,,3.0,3.0,installed,,,2450,218.0,1,15,,house,house,0,0,1,Antwerp,Flanders_zone,3
71,80,117.0,315000,good,3.0,2.0,semi equipped,,,1410,281.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
73,82,625.0,695000,to be done up,,5.0,,,,9900,4143.0,0,0,,house,villa,0,0,2,East Flanders,Flanders_zone,3
74,83,191.0,425000,to be done up,4.0,4.0,installed,,,1860,1630.0,1,40,,house,villa,1,1100,2,Flemish Brabant,Flanders_zone,3
75,84,179.0,605000,,,3.0,,,,9800,436.0,1,23,,house,house,1,222,1,East Flanders,Flanders_zone,3
79,88,167.0,375000,as new,,3.0,,,1.0,8553,1098.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
80,89,120.0,150000,to be done up,2.0,2.0,,,,1380,242.0,1,20,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
81,90,130.0,225000,,3.0,3.0,not installed,,,4520,410.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
82,91,140.0,252000,as new,2.0,3.0,installed,,,8810,100.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
84,93,115.0,275000,good,4.0,1.0,installed,,,1435,153.0,0,0,,house,apartment,0,0,4,Walloon Brabant,Wallonia_zone,2
85,94,100.0,179000,good,2.0,3.0,semi equipped,,,4431,181.0,1,41,,house,house,0,0,1,Liège,Wallonia_zone,2
86,95,113.0,195000,good,3.0,3.0,semi equipped,,,7860,515.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
87,96,199.0,40000,,4.0,3.0,installed,,1.0,2990,515.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
88,97,192.0,411417,,3.0,4.0,not installed,,,6700,364.0,0,0,,house,house,0,0,1,Luxembourg,Wallonia_zone,2
89,98,112.0,364000,,3.0,3.0,,,,9960,376.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
90,100,81.0,139000,to renovate,3.0,2.0,semi equipped,,,4557,443.0,0,0,,house,country,1,350,7,Liège,Wallonia_zone,2
91,101,155.0,155000,to renovate,3.0,3.0,semi equipped,,,7880,320.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
92,102,138.0,299000,good,2.0,3.0,installed,,1.0,4122,333.0,1,25,,house,house,1,125,1,Liège,Wallonia_zone,2
93,103,155.0,332100,,2.0,3.0,installed,,,9120,265.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
94,104,300.0,180000,to restore,3.0,6.0,not installed,,,4540,456.0,0,0,,house,apartment,1,283,4,Liège,Wallonia_zone,2
95,105,395.0,560000,good,4.0,4.0,hyper equipped,,,9500,1775.0,1,21,,house,house,0,0,1,East Flanders,Flanders_zone,3
97,107,130.0,159500,good,2.0,3.0,installed,,,4020,50.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
98,108,180.0,235000,as new,2.0,4.0,,,,1480,524.0,1,25,,house,villa,1,424,2,Walloon Brabant,Wallonia_zone,2
99,109,290.0,360000,,,5.0,semi equipped,,,7863,1253.0,0,0,,house,mixed,0,0,3,Hainaut,Wallonia_zone,2
101,112,186.0,400561,as new,3.0,3.0,,,,9860,282.0,0,0,,house,house,1,183,1,East Flanders,Flanders_zone,3
102,113,150.0,315000,as new,3.0,3.0,installed,,,9600,459.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
104,115,126.0,281260,,3.0,3.0,,,,8460,330.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
105,117,225.0,795000,as new,4.0,3.0,usa hyper equipped,,,1325,3630.0,0,0,,house,exceptiona,1,3630,5,Walloon Brabant,Wallonia_zone,2
106,118,129.0,238000,,,4.0,,,,8800,137.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
107,120,214.0,285000,as new,,3.0,,,,9940,577.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
111,124,85.0,180000,to renovate,2.0,2.0,not installed,,,1300,130.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
112,126,380.0,445000,,3.0,7.0,,,,6690,2338.0,0,0,,house,apartment,0,0,4,Luxembourg,Wallonia_zone,2
113,127,236.0,295000,to be done up,4.0,5.0,usa semi equipped,,,4690,1250.0,1,31,,house,bungalow,1,1000,9,Liège,Wallonia_zone,2
114,128,600.0,2950000,as new,4.0,5.0,installed,,1.0,1640,2105.0,0,0,True,house,villa,0,0,2,Flemish Brabant,Flanders_zone,3
115,129,104.0,329000,,3.0,3.0,,,,9660,441.0,1,22,,house,house,0,0,1,East Flanders,Flanders_zone,3
117,131,285.0,349000,good,3.0,3.0,hyper equipped,,,9340,125.0,1,35,,house,house,0,0,1,East Flanders,Flanders_zone,3
118,132,217.0,595000,as new,4.0,3.0,installed,,1.0,1700,810.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
119,133,180.0,382227,,3.0,3.0,,,,8530,435.0,1,29,,house,house,0,0,1,West Flanders,Flanders_zone,3
120,134,150.0,249000,to be done up,3.0,3.0,installed,,1.0,9800,477.0,1,54,,house,house,1,160,1,East Flanders,Flanders_zone,3
121,135,210.0,398000,to be done up,2.0,4.0,installed,yes,,9000,135.0,1,20,,house,house,1,40,1,East Flanders,Flanders_zone,3
123,137,115.0,119500,good,3.0,2.0,installed,,,7012,190.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
125,139,175.0,389000,as new,3.0,4.0,hyper equipped,,,2460,330.0,1,6,,house,house,1,160,1,Antwerp,Flanders_zone,3
126,140,375.0,850000,good,4.0,4.0,hyper equipped,,1.0,1370,7474.0,1,30,,house,house,1,7474,1,Walloon Brabant,Wallonia_zone,2
128,142,172.0,337506,,3.0,3.0,,,,8930,603.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
129,143,158.0,309000,as new,3.0,3.0,usa hyper equipped,,,1360,250.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
130,144,380.0,1350000,as new,2.0,7.0,installed,,,1000,190.0,1,5,,house,apartment,1,90,4,Brussel-Capital,Brussels_zone,1
131,145,153.0,350000,good,4.0,4.0,installed,,1.0,1457,732.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
132,146,114.0,247964,,3.0,3.0,,,,8790,346.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
133,147,127.0,284000,,2.0,3.0,semi equipped,,,3620,128.0,1,15,,house,house,1,64,1,Limburg,Flanders_zone,3
134,149,175.0,379500,,3.0,4.0,hyper equipped,,,8500,334.0,0,0,,house,house,1,122,1,West Flanders,Flanders_zone,3
135,150,190.0,365000,good,2.0,3.0,hyper equipped,,,3500,195.0,0,0,,house,mansion,0,0,6,Limburg,Flanders_zone,3
136,151,140.0,299000,as new,3.0,3.0,,,,4020,250.0,1,8,,house,house,0,0,1,Liège,Wallonia_zone,2
139,154,395.0,425000,just renovated,4.0,5.0,hyper equipped,,,2275,898.0,1,70,,house,house,0,0,1,Antwerp,Flanders_zone,3
140,155,115.0,240500,,2.0,3.0,,,,7812,312.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
144,159,311.0,1250000,,4.0,4.0,installed,,,2630,3096.0,1,60,True,house,villa,1,2000,2,Antwerp,Flanders_zone,3
145,160,250.0,335000,good,2.0,3.0,,,,8790,312.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
147,162,156.0,110000,to renovate,3.0,3.0,not installed,,,7822,400.0,0,0,,house,house,1,400,1,Hainaut,Wallonia_zone,2
148,163,160.0,395000,,2.0,3.0,hyper equipped,,,1700,190.0,1,13,,house,town,1,120,8,Flemish Brabant,Flanders_zone,3
150,165,130.0,319000,just renovated,4.0,3.0,installed,,1.0,4520,687.0,1,40,,house,house,1,330,1,Liège,Wallonia_zone,2
151,166,151.0,205000,,,3.0,not installed,,1.0,6200,625.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
152,167,215.0,790000,,2.0,5.0,installed,,,1200,177.0,1,6,,house,house,1,100,1,Brussel-Capital,Brussels_zone,1
154,169,163.0,258899,,2.0,3.0,,,,8470,164.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
155,170,264.0,775000,good,2.0,5.0,hyper equipped,,,1000,98.0,1,20,,house,house,1,20,1,Brussel-Capital,Brussels_zone,1
156,171,210.0,230000,to be done up,2.0,4.0,semi equipped,,,9600,220.0,0,0,,house,mansion,0,0,6,East Flanders,Flanders_zone,3
157,172,126.0,267700,,,3.0,,,,8460,331.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
158,173,167.0,640000,good,2.0,4.0,installed,,,1150,125.0,0,0,,house,house,1,20,1,Brussel-Capital,Brussels_zone,1
159,174,150.0,299000,as new,,3.0,hyper equipped,,,8650,308.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
160,175,124.0,380000,good,2.0,3.0,installed,,,3010,330.0,1,9,,house,house,1,200,1,Flemish Brabant,Flanders_zone,3
161,176,161.0,295500,,4.0,4.0,installed,,,5590,803.0,0,0,,house,villa,0,0,2,Namur,Wallonia_zone,2
162,177,200.0,450000,as new,4.0,3.0,usa installed,,,5377,1600.0,1,1,True,house,house,1,1,1,Namur,Wallonia_zone,2
163,178,360.0,1150000,as new,4.0,6.0,usa hyper equipped,,,1700,2767.0,0,0,,house,villa,1,2700,2,Flemish Brabant,Flanders_zone,3
164,179,120.0,359000,good,2.0,3.0,,,,4040,740.0,0,0,,house,mixed,1,300,3,Liège,Wallonia_zone,2
165,180,122.0,240000,as new,3.0,3.0,,,,5060,306.0,0,0,,house,house,0,0,1,Namur,Wallonia_zone,2
168,183,116.0,280000,just renovated,2.0,2.0,installed,,,2550,176.0,1,1,,house,house,1,116,1,Antwerp,Flanders_zone,3
169,184,298.0,885000,as new,3.0,4.0,installed,,,1630,452.0,0,0,,house,villa,0,0,2,Flemish Brabant,Flanders_zone,3
170,185,250.0,250000,,,1.0,,,,7880,649.0,0,0,,house,apartment,0,0,4,Hainaut,Wallonia_zone,2
171,186,174.0,259500,to renovate,,3.0,,,,8210,539.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
172,187,475.0,1775000,to be done up,4.0,7.0,installed,,,1150,1195.0,1,76,,house,villa,1,1000,2,Brussel-Capital,Brussels_zone,1
173,188,175.0,370435,,3.0,3.0,installed,,,8800,280.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
174,189,252.0,665000,,,6.0,,,,9000,84.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
177,193,203.0,385000,,3.0,3.0,,,,4550,835.0,1,30,,house,house,0,0,1,Liège,Wallonia_zone,2
179,196,235.0,199000,to be done up,3.0,5.0,installed,,,4100,430.0,1,37,,house,house,1,190,1,Liège,Wallonia_zone,2
180,197,121.0,120000,to be done up,3.0,3.0,installed,,,6600,176.0,0,0,,house,house,0,0,1,Luxembourg,Wallonia_zone,2
181,198,155.0,280000,good,4.0,3.0,installed,,,4400,1238.0,1,36,,house,bungalow,1,943,9,Liège,Wallonia_zone,2
182,199,125.0,80000,to be done up,2.0,2.0,installed,,,6182,320.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
183,200,874.0,250000,to renovate,3.0,5.0,not installed,,3.0,6717,1446.0,0,0,,house,house,0,0,1,Luxembourg,Wallonia_zone,2
184,203,310.0,985000,as new,4.0,5.0,usa installed,,,1380,3111.0,1,530,True,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
185,204,152.0,395000,,2.0,3.0,not installed,,,1150,88.0,0,0,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
186,205,150.0,230000,good,2.0,4.0,installed,,,7080,331.0,1,25,,house,mixed,0,0,3,Hainaut,Wallonia_zone,2
188,207,114.0,243000,,2.0,3.0,semi equipped,,,3620,91.0,1,11,,house,house,1,32,1,Limburg,Flanders_zone,3
189,209,168.0,395000,as new,4.0,3.0,usa installed,,,4800,659.0,0,0,,house,villa,0,0,2,Liège,Wallonia_zone,2
191,211,155.0,219000,good,3.0,3.0,installed,,,8790,256.0,0,0,,house,house,1,86,1,West Flanders,Flanders_zone,3
192,212,213.0,425000,good,,4.0,installed,,,1420,143.0,1,13,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
193,213,166.0,375000,as new,3.0,4.0,installed,,,8310,201.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
194,214,155.0,260000,good,2.0,3.0,installed,,,8480,218.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
196,216,110.0,210000,good,2.0,2.0,hyper equipped,,,4051,210.0,1,48,,house,house,1,16,1,Liège,Wallonia_zone,2
197,217,260.0,749000,,,3.0,,,,8670,533.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
198,218,75.0,239500,as new,,2.0,hyper equipped,,,8420,231.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
199,219,149.0,383000,just renovated,2.0,3.0,installed,,,2800,174.0,1,28,,house,house,1,72,1,Antwerp,Flanders_zone,3
200,220,442.0,750000,as new,3.0,5.0,hyper equipped,,,1370,769.0,0,0,,house,exceptiona,0,0,5,Walloon Brabant,Wallonia_zone,2
201,221,188.0,350000,,,3.0,hyper equipped,,,8820,386.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
202,222,162.0,335000,to be done up,2.0,4.0,hyper equipped,,,2018,50.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
203,223,302.0,600000,just renovated,2.0,7.0,,,,7000,100.0,1,10,,house,apartment,0,0,4,Hainaut,Wallonia_zone,2
205,225,158.0,339000,,,3.0,,,,2380,326.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
206,226,100.0,175000,,2.0,1.0,semi equipped,,,6760,28.0,0,0,,house,house,0,0,1,Luxembourg,Wallonia_zone,2
207,227,180.0,295000,,4.0,4.0,,,,1430,1300.0,0,0,,house,villa,0,0,2,Walloon Brabant,Wallonia_zone,2
208,228,174.0,370435,,3.0,3.0,installed,,,8800,280.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
210,231,153.0,255000,good,,2.0,installed,,,8908,404.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
211,232,124.0,338202,as new,,3.0,,,,3370,149.0,1,10,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
212,233,132.0,224900,,3.0,3.0,not installed,,,7951,474.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
213,234,595.0,299000,to be done up,3.0,5.0,semi equipped,,,7370,1300.0,0,0,,house,house,1,1000,1,Hainaut,Wallonia_zone,2
214,235,118.0,340000,,2.0,3.0,not installed,,,3080,145.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
215,236,350.0,1875000,as new,3.0,8.0,hyper equipped,,,8300,270.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
216,237,211.0,645000,to be done up,4.0,4.0,,,,1440,2409.0,0,0,,house,villa,0,0,2,Walloon Brabant,Wallonia_zone,2
218,239,140.0,297000,,3.0,3.0,installed,,,2450,227.0,1,15,,house,house,0,0,1,Antwerp,Flanders_zone,3
219,240,152.0,375000,just renovated,4.0,4.0,installed,,,1495,416.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
220,241,140.0,320000,as new,3.0,3.0,,,,3211,462.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
221,242,189.0,559000,as new,3.0,4.0,hyper equipped,,,3012,352.0,0,0,,house,villa,0,0,2,Flemish Brabant,Flanders_zone,3
222,243,110.0,165000,to be done up,4.0,3.0,installed,,,6061,328.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
223,244,101.0,483000,,2.0,2.0,,,,9000,82.0,0,0,,house,house,1,32,1,East Flanders,Flanders_zone,3
224,246,259.0,329900,as new,,5.0,,,,8380,301.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
226,248,118.0,255000,as new,,4.0,hyper equipped,,,8972,188.0,1,21,,house,house,1,92,1,West Flanders,Flanders_zone,3
227,249,135.0,268000,just renovated,2.0,3.0,hyper equipped,,,1480,202.0,1,20,,house,house,1,107,1,Walloon Brabant,Wallonia_zone,2
228,250,124.0,488000,good,4.0,2.0,installed,,,1410,708.0,1,1,,house,country,1,500,7,Walloon Brabant,Wallonia_zone,2
229,251,148.0,214000,good,2.0,3.0,installed,,,2870,120.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
230,252,260.0,825000,good,4.0,3.0,installed,,,1380,1966.0,1,15,,house,house,1,1500,1,Walloon Brabant,Wallonia_zone,2
231,253,420.0,1290000,as new,2.0,7.0,,,1.0,1180,300.0,1,10,,house,house,1,140,1,Brussel-Capital,Brussels_zone,1
236,258,391.0,310000,good,2.0,5.0,installed,,,7340,837.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
237,259,178.0,365000,good,,4.0,installed,,,1420,155.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
239,261,88.0,270000,,,1.0,,,,9000,106.0,1,18,,house,house,0,0,1,East Flanders,Flanders_zone,3
240,262,181.0,390000,,2.0,3.0,,,,8710,394.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
241,263,172.0,175000,to renovate,4.0,3.0,not installed,,,6800,1254.0,0,0,,house,house,1,1000,1,Luxembourg,Wallonia_zone,2
242,264,162.0,387500,as new,3.0,3.0,hyper equipped,,,2870,470.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
243,266,175.0,373750,as new,3.0,3.0,,,,9660,525.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
244,268,170.0,295000,as new,2.0,3.0,hyper equipped,,,7760,447.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
245,269,205.0,795000,just renovated,2.0,4.0,,,,3000,147.0,1,18,,house,mixed,1,61,3,Flemish Brabant,Flanders_zone,3
246,270,540.0,1450000,as new,2.0,4.0,hyper equipped,,,8000,205.0,1,35,,house,mansion,0,0,6,West Flanders,Flanders_zone,3
247,271,142.0,394000,,,3.0,hyper equipped,,,9200,185.0,0,0,,house,house,1,118,1,East Flanders,Flanders_zone,3
248,272,138.0,262000,,,4.0,,,,8830,227.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
249,274,450.0,2750000,as new,4.0,7.0,hyper equipped,,,1180,2600.0,0,0,,house,villa,0,0,2,Brussel-Capital,Brussels_zone,1
250,276,132.0,589000,,2.0,3.0,,,,9000,94.0,0,0,,house,house,1,28,1,East Flanders,Flanders_zone,3
251,277,191.0,2999000,as new,3.0,5.0,,,,8300,290.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
252,278,103.0,215000,good,,2.0,installed,,,1430,234.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
253,279,1100.0,4950000,as new,4.0,7.0,hyper equipped,,,1190,48905.0,1,100,True,house,exceptiona,0,0,5,Brussel-Capital,Brussels_zone,1
254,280,336.0,899000,as new,4.0,3.0,usa hyper equipped,,1.0,1851,2151.0,1,60,True,house,villa,1,1950,2,Flemish Brabant,Flanders_zone,3
255,281,75.0,189000,good,2.0,2.0,semi equipped,,,9000,41.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
256,282,167.0,321000,,,4.0,,,,8490,284.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
257,283,420.0,449000,,,6.0,,,,8730,563.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
